종목명,전일 종가,최근 종가,변동,변동률
S&P 500,6013.1298828125,5983.25,-29.8798828125,-0.4969106504402394
NASDAQ Composite,19524.009765625,19286.9296875,-237.080078125,-1.2143001410622918
Dow Jones Industrial Average,43428.01953125,43461.2109375,33.19140625,0.07642855144733478
CBOE Interest Rate 10 Year T No,4.420000076293945,4.39300012588501,-0.026999950408935547,-0.6108585959929281
USD/KRW,1434.2900390625,1431.9100341796875,-2.3800048828125,-0.16593609507099072
KOSPI Composite Index,2645.27001953125,2630.2900390625,-14.97998046875,-0.5662930573493778
